Year,Alum Band ID,Frequency,Nest Attempt,Bird Capture Site,NestID,FlagLat,FlagLong,FlagBear,NestLat,NestLong,Nest Description,Clutch Size,Date Counted,FloatA,FloatB,FloatC,FloatD,FloatAverage,Est.Laying.Initiation,EstimatedHatch,Fate,Comments
2018,10372,149.683,1,Barstow Road,10372-2018-1,43.762318,-70.499474,50,43.762493,-70.499563,"In Gas Line ROW, under 3' fir sapling",NA,NA,NA,NA,NA,NA,NA,4/17/2018,5/24/2018,1,Eggs gone from nest bowl on 5.14
2018,372,149.483,1,Rust Farm,372-2018-1,43.700157,-70.467105,105,43.70018,-70.46719,"On small hillside facing SE in Raspberrry,shrubs and other brambles. In patch of woods 20 yds. wide between two hay fields.",15,5/31/2018,NA,NA,NA,NA,NA,4/22/2018,5/29/2018,0,"3 eggs unhatched in nest bowl after hatching. Floated each (6-8, 16, 23). "
2018,362,149.693,1,Bradbury,362-2018-1,45.07226,-68.34008,230,45.07216,-68.34037,Off two track in forested area. on edge of forest on raised stump between trees,14,5/21/2018,16,16,16,,16,4/21/2018,5/30/2018,0,
2018,355,149.28,1,Bradbury,355-2018-1,,,,45.048127,-68.352031,"No noticeable nest bowl, in forest",NA,NA,NA,NA,NA,NA,NA,4/18/2018,5/30/2018,1,
2018,258,149.385,1,Bradford,258-2018-1,,,,45.100635,-68.928312,Nest Bowl found in shurb on marshy area.,NA,NA,NA,NA,NA,NA,NA,4/24/2018,5/31/2018,1,
2018,280,149.14,1,Sanborn,280-2018-1,,,,45.005116,-69.074898,"No nestbowl found, in forest off of ag field",NA,NA,NA,NA,NA,NA,NA,4/23/2018,6/1/2018,1,
2018,361,149.42,1,Bradbury,361-2018-1,,,,45.0006,-68.3846,"Along ATV road, on forest edge not well conealed in clear cut",NA,NA,NA,NA,NA,NA,NA,4/24/2018,6/2/2018,1,"Bird predated off nest, nest also predated"
2018,354,149.35,1,Bradbury,354-2018-1,,,,45.08805,-68.42424,Under large fallen tree,NA,NA,NA,NA,NA,NA,NA,4/27/2018,6/3/2018,1,6 predated eggs found when doing cover boards next to R2 near nest
2018,10369,149.802,1,Rust Farm,10369-2018-1,43.76347,-70.47137,80,43.7635,-70.47109,In bramble patch (rasperry) adjacent to old stumps from cutting of small clearing (@2 acres.,NA,NA,NA,NA,NA,NA,NA,4/27/2018,6/3/2018,1,"Hen Killed, Small mammal den found 15 feed from nest"
2018,281,149.333,1,Sanborn,281-2018-1,44.9733,-69.15107,25,44.97355,-69.15102,"On edge of field before treeline in dead leaves, behind a rock",11,5/24/2018,16,16,16,,16,4/27/2018,6/4/2018,0,
2018,286,149.315,1,Horseback,286-2018-1,,,,44.951747,-68.38486,In saprse cover among beech stand,NA,NA,NA,NA,NA,NA,NA,4/25/2018,6/5/2018,1,Nest found while doing coverboards. 6 egg shells found.
2018,10371,149.604,1,Barstow Road,10371-2018-1,43.75425,-70.46287,7,43.754393,-70.462904,"in low brush pile (one foot high), wide open to sky.",12,5/14/2018,0-3,0-3,0-3,,0-3,5/2/2018,6/8/2018,0,"Nest in brush pile, wide open. Stumbled onto hen as she flushed."
2018,251,149.455,1,Madden,251-2018-1,,,,45.096587,-68.411068,Located in long landing under a few shrubs out in the open,NA,NA,NA,NA,NA,NA,NA,5/3/2018,6/9/2018,1,
2018,365,149.794,1,Rust Farm,365-2018-1,43.71113,-70.47948,220,43.71097,-70.47958,"Inside a patch of Juniper, within a large Powerline ROW",15,5/22/2018,6-8,6-8,6-8,6-8,7,4/30/2018,6/9/2018,1,"Hen Killed, 13 eggs in tack and collected"
2018,352,149.645,1,Mosher Corner,352-2018-1,43.70163,-70.40046,325,43.70166,-70.40046,"set inside a small wood patch (30 yds squared) at the junction of 2 skidder trails, next to turkey sized rock under an 8' fir tree.",12,5/22/2018,3,3,6-8,,6,5/4/2018,6/10/2018,1,"Eggs, depradatedSome egg shells in nest bowl with distinct small holes in each with contents gone"
2018,359,149.292,1,Bradbury,359-2018-1,45.0782,-68.42072,89,45.07271,-68.41931,"Clear Cut, nest located near center. Nest among some early successional trees and shrubs",13,5/23/2018,6-8,8-11,8-11,,9,5/1/2018,6/10/2018,1,"nest bowl empty, no eggs/fragments found. Bird observed alone on road large distance from nest site."
2018,NA,NA,NA,NA,Bradley1-2018,,,,44.8797,-68.6124,Nest under downed eastern white pine limb in clear cut.,10,5/22/2018,8-11,6-8,6-8,,8,5/14/2018,6/10/2018,1,Frequently flushed
2018,NA,NA,NA,NA,GorhamIncidental01-2018,,,,43.711,-70.47955,"Inside a patch of Juniper, within a large Powerline ROW",15,5/22/2018,6-8,6-8,6-8,,7,5/15/2018,6/10/2018,1,"Eggs depradated, 10 feet from 365-2018-1"
2018,10353,149.673,1,Sanborn,10353-2018-1,45.06557,-68.96043,3,45.06587,-68.96054,Against base of tree w/ tree stand on it,13,5/24/2018,6-8,6-8,8-11,,8,5/3/2018,6/12/2018,0,
2018,258,149.385,2,Bradford,258-2018-2,,,,45.10105,-68.94836,Among shrubs on edge between forest and hay field,NA,NA,NA,NA,NA,NA,NA,5/7/2018,6/13/2018,1,"Nest bowl found, empty"
2018,NA,NA,NA,NA,Bradley2-2018,,,,44.87967,-68.61203,In the open among clear cut,5,5/22/2018,3,3,3,,3,5/19/2018,6/15/2018,1,"Frequently flushed, off nest after attempted capture"
2018,356,149.733,1,Bradbury,356-2018-1,45.07001,-68.45385,344,45.0703,-68.4541,"Along 2 track, behind some fallen trees, among some smaller trees",9,6/1/2018,8-11,8-11,16,16,12,5/11/2018,6/16/2018,0,"Discovered shells with membrane in tact. After suspected hatch, bird flushed from nearby field. She was sitting still in grass and acting as if with brood."
2018,280,149.14,2,Sanborn,280-2018-2,,,,45.00605,-69.06463,,NA,NA,NA,NA,NA,NA,NA,5/13/2018,6/21/2018,1,
2018,10376,149.035,1,Maple Lane,10376-2018-1,,,,45.08704,-69.05802,In middle of mowed hay field,NA,NA,NA,NA,NA,NA,NA,5/19/2018,6/27/2018,1,nest failed due to field being mowed
2018,10372,149.683,2,Barstow Road,10372-2018-2,43.77016,-70.48646,90,43.77032,-70.48657,Likely in dense lumba/bramble patch in 20x20 area,NA,NA,NA,NA,NA,NA,NA,5/22/2018,6/28/2018,NA,"Unsure if hatched, but bird observed in field exhibiting behavior suggesting poults with her. "
2018,10383,149.092,1,Maple Lane,10383-2018-1,45.0959,-68.94691,171,45.09581,-68.94682,~20' inside fence from first post down hill from gate,7,6/11/2018,3,6-8,6-8,6-8,6,5/29/2018,7/2/2018,1,Trampled. Cows got into pasture and trampled nest.
2018,275,149.494,2,Sanborn,275-2018-2,44.99594,-69.10699,343,44.99613,-69.1071,Nest is ~3' inside a small standing snag from field,7,6/29/2018,6-8,6-8,6-8,,7,6/15/2018,7/19/2018,0,
