NestID,Date,Status,Comment
1006-2019-1,5/31/2019,0,Visual on Nest. Within 15'
1006-2019-1,6/7/2019,0,Visual on Nest. Within 5'
1006-2019-1,6/14/2019,0,Visual on nest. Stood next to her.  she did not budge.
1006-2019-1,6/19/2019,1,Hatched. Visuall of hen in tall grass brooding behaviour. 8 hatched eggs.
1008-2019-1,5/23/2019,0,"Assumed Date, Abandoned on only day known alive"
1008-2019-1,5/24/2019,0,"Flushed, 12 eggs estimated 2 days incubation, Check back at 2100. Hen alive but off nest"
1008-2019-1,5/25/2019,1,
1008-2019-1,5/31/2019,1,12 cold eggs in nest bowl. Collected 1 for Steph.
1009-2019-1,6/19/2019,0,"Stood 4' from her, sitting in a patch of tall grass."
1009-2019-1,6/25/2019,0,"Assumed Date, Abandoned on day flushed"
1009-2019-1,6/26/2019,1,"12 PM Flushed off nest, 10 eggs, 13 days incubation, Off nest at 10 PM, eggs cold.  Collected 1 for steph"
1009-2019-1,7/7/2019,1,"Field cut, no cover left over nest bowl"
10353-2018-1,5/14/2018,0,On Nest
10353-2018-1,5/16/2018,0,On Nest
10353-2018-1,5/18/2018,0,On Nest
10353-2018-1,5/21/2018,0,On Nest
10353-2018-1,5/24/2018,0,On Nest
10353-2018-1,5/25/2018,0,On Nest
10353-2018-1,5/28/2018,0,On Nest
10353-2018-1,5/30/2018,0,On Nest
10353-2018-1,5/31/2018,0,On Nest
10353-2018-1,6/3/2018,0,On Nest
10353-2018-1,6/5/2018,0,On Nest
10353-2018-1,6/7/2018,0,On Nest
10353-2018-1,6/9/2018,0,On Nest
10353-2018-1,6/10/2018,0,On Nest
10353-2018-1,6/11/2018,1,Hatched
10364-2019-1,6/10/2019,0,
10364-2019-1,6/13/2019,0,
10364-2019-1,6/17/2019,0,"flushed, counted eggs"
10364-2019-1,6/18/2019,0,
10364-2019-1,6/20/2019,0,
10364-2019-1,6/24/2019,0,
10364-2019-1,6/27/2019,0,
10364-2019-1,7/3/2019,0,
10364-2019-1,7/4/2019,0,
10364-2019-1,7/8/2019,0,
10364-2019-1,7/10/2019,1,
10369-2018-1,5/8/2018,0,On Nest
10369-2018-1,5/14/2018,0,On Nest
10369-2018-1,5/17/2018,0,On Nest
10369-2018-1,5/22/2018,1,Mortality
